Lugar;Area;Preferencia
ZBIB;4704;0.2701
ZPG;3131;0.4498
ZGYM;2284;0.5809
ZPLA;1943;0.6925
ZJCO;999;0.7499
ZJEF;837;0.7979
ZGYA;594;0.8320
ZPCU;583;0.8655
ZPIM;508;0.8946
ZC34;457;0.9208
ZT29;386;0.9430
ZC35;284;0.9593
ZPP;171;0.9691
ZEE;134;0.9768
ZCAR;104;0.9828
ZPLC;68;0.9867
ZSCF;52;0.9897
Z291;45;0.9922
ZCDV;35;0.9943
ZETE;33;0.9962
ZTAR;29;0.9978
ZLEC;20;0.9990
Z292;18;1.0000
