Punto inicial;Punto final;Distancia
B1;GVCI;87
GVCI;B1;87
B1;GCI2;97
GCI2;B1;97
ZPLA;GPP;90
GPP;ZPLA;90
GP19;B19;125
B19;GP19;125
GVAV;B19;125
B19;GVAV;125
