Place;Area;Weight;Active;Link
GV48;50;0.1429;0;
GVAG;50;0.1429;0;
GVCI;50;0.1429;0;
GVAR;50;0.1429;1;
GVAV;50;0.1429;1;
GVV4;50;0.1429;0;
GVPR;50;0.1429;0;
