Place;Area;Weight;Active;Link
ZBIB;3019;0.1;1;
ZGYM;2284;0.08;1;
ZPLA;1943;0.08;1;
ZJCO;999;0.08;1;
ZJEF;837;0.06;1;
ZGYA;594;0.05;1;
ZPCU;583;0.05;1;
ZPIM;508;0.05;1;
ZC34;457;0.05;1;
ZT29;386;0.05;1;
ZC35;284;0.02;1;
ZEE;134;0.02;1;
ZCAR;104;0.1;1;
ZPLC;68;0.05;1;
ZSCF;52;0.05;1;
Z291;45;0.02;1;
ZETE;33;0.02;1;
ZTAR;29;0.02;1;
ZLEC;20;0.03;1;
Z292;18;0.02;1;
