Place;Area;Weight;Active;Link
FCP;3820.97;0.7058;1;
FTEJ;583;0.1077;1;
FDOG;280;0.0517;1;
FDL;250;0.0462;1;
FKAM;250;0.0462;1;
FSUB;230;0.0425;1;
