Place,Area,Weight,Active,Link
XEP,200,0.0,1,
XB15,200,0.0,1,
XB17,200,0.0,1,
XB29,200,0.0,1,
XB33,200,0.0,1,
XB20,200,0.0,1,
XB19,200,0.0,1,
XB21,200,0.0,1,
XPP,200,0.0,1,
XFCP,200,0.0,1,
XPOL,200,0.0,1,
XB26,200,0.0,1,
XB3,200,0.0,1,
XNJC,200,0.0,1,
XQBD,200,0.0,1,
XNTD,200,0.0,1,
XNTL,200,0.0,1,
XTEJ,200,0.0,1,
XB38,200,0.0,1,
XNT38,200,0.0,1,
XNOR,200,0.0,1,
XBRI,200,0.0,1,
XJUN,200,0.0,1,
XARG,200,0.0,1,
