Place;Area;Weight;Active;Link
GPP;50;0.4;1;LIM6
GAG;50;0.3;1;LIM8
GPA;50;0.3;1;LIM11
G4S;50;0.0;1;LIM4
GCID;50;0.0;1;LIM9
GCI2;50;0.0;1;LIM10
GP19;50;0.0;1;LIM1
