Place;Area;Weight;Active;Link
GPP;50;0.333333;1;
GAG;50;0.333333;1;
GPA;50;0.333333;1;
G4S;50;0.000000;0;
GCID;50;0.000000;0;
GCI2;50;0.000000;0;
GP19;50;0.000000;0;
