Student ID,Subject ID,Group ID
89,EC0243,1
89,NI0276,3
89,ME0158,1
89,OG0126,7
90,CO0135,1
90,FI0116,11
90,ME0104,2
90,OG0123,6
91,FI0155,1
91,FI0157,3
91,EC0222,1
92,OG0260,1
92,NI0238,1
92,NI0276,1
92,FI0131,6
92,FI0224,3
93,DE0908,1
93,DE0142,2
93,DE0151,1
94,ME0253,1
94,ME0241,1
94,ME0239,3
94,ME0245,2
95,DE0137,3
95,DE0126,3
95,DE0148,1
95,DE0145,1
95,DE0144,1
95,HL0555,10
95,DE0141,2
96,PT0113,35
96,OG0133,3
96,FI0139,6
96,ME0171,1
96,OG0125,3
96,NI0247,6
97,DE0071,1
97,DE0151,1
97,DE0055,1
97,DE0078,1
98,EC0101,6
98,CM0211,2
98,BU0401,1
98,OG0123,10
99,CT0247,2
100,ME0242,5
100,OG0133,4
100,ME0156,6
101,DE0139,2
101,DE0077,1
101,DE0679,1
101,DE0680,1
102,CO0139,1
102,CO0231,1
102,CO0143,1
102,PT0040,1
103,OG0266,1
103,ME0247,1
103,OG0135,3
104,IC0655,28
104,IC0655,28
104,IC0633,17
105,EC0221,2
105,CM0212,11
105,CO0135,13
105,EC0102,6
106,NI0285,2
106,BU0469,1
106,NI0104,1
106,NI0269,1
106,NI0275,1
107,ME0242,5
107,ME0058,2
107,ME0245,1
107,ME0247,1
108,DE0124,1
108,DE0086,5
108,DE0025,3
109,DE0908,1
109,DE0655,255
109,DE0162,1
109,DE0655,255
110,DE0215,2
110,NI0221,3
110,NI0276,3
111,IP0235,1
111,IM0232,2
111,DE0084,10
111,IP0237,1
112,ME0106,7
112,OG0122,4
113,ME0243,3
113,ME0244,1
113,PT1001,1
114,OG0262,5
114,NI0267,1
114,CO0125,1
114,OG0273,1
114,NI0283,1
115,OG0123,5
115,ME0106,5
115,DE0221,2
115,FI0116,12
115,DE0120,6
116,CO0234,1
116,OG0347,8
116,OG0128,2
116,OG0282,1
116,DE0120,6
117,CS0232,2
117,CS0092,1
117,HL0355,2
118,CT0254,1
118,CT0258,1
