Place;Weight
B38;0.07692
B26;0.07692
B19;0.07692
B3;0.07692
B18;0.07692
ZBIB;0.07692
FCP;0.07692
B7;0.07692
FTEJ;0.07692
FDOG;0.07692
FDL;0.07692
FKAM;0.07692
FSUB;0.07692
