Place;Area;Weight
B1;7986.01;1
B13;1364.2;1
B14;1305.49;1
B15;818.23;1
B16;621.69;1
B17;927.1;1
B18;4183.5;1
B19;14582.52;1
B23;789.98;1
B26;4491.95;1
B27;1687.43;1
B28;1953.32;1
B29;5242.27;1
B3;1961.71;1
B30;1673.93;1
B33;1479.5;1
B34;1448.64;1
B35;1448.64;1
B38;6146.28;1
B7;977.67;1
B21;1184.29;1
B20;10000;1
B12;91.97;1
